Gene	Num
MYO16	29
LAMA4	29
OR2L8	29
SLITRK6	29
ROR2	29
SEMA5A	29
NBEA	29
MAGI2	29
CMTR2	29
ADAMTS18	29
NID1	29
PIK3CG	29
OR5L2	29
ADCY8	29
WDR49	29
DIDO1	29
SCN5A	29
DOCK10	29
INSRR	29
TPO	29
MYOM2	29
COL4A1	29
ARID1A	29
OR2G2	29
GABRB3	29
RIMBP2	29
CCDC129	29
IRS4	29
FCRL5	29
BSN	28
RBM10	28
DCHS1	28
UBR5	28
ALPK2	28
NLRP4	28
CNTN1	28
CUX2	28
VPS13B	28
MED12L	28
MYH3	28
PCDHGA5	28
TCHH	28
OR4C16	28
DYNC2H1	28
GLI2	28
EP400	28
OR2T4	28
OR5D13	28
OR4A5	28
PCDHB14	28
ASH1L	28
ITGA4	28
SCN7A	28
SPATA31E1	28
PRKDC	28
KIAA1755	28
CACNA1B	28
SAMD9	28
TRPC5	28
CHD7	28
CMYA5	28
OR8U1	28
SCN11A	28
ADAMTSL1	28
AMER3	28
TRHDE	28
COL5A1	28
TRIM51	28
F5	28
PKD1L2	28
ADAMTS19	28
MTUS2	28
GTF3C1	27
TBX22	27
SPATA31A3	27
LTBP2	27
MYO3A	27
RGPD3	27
COL7A1	27
OR2L13	27
FHOD3	27
PCDHB5	27
ST18	27
PCDHB9	27
RUNX1T1	27
CD163	27
MUC5AC	27
CCDC108	27
MYPN	27
WBSCR17	27
SAMD9L	27
ALK	27
PCDHA3	27
POTEF	27
KCNA4	27
NES	27
PDHA2	27
MYO7B	27
DLC1	27
CDH2	27
SLIT3	27
ITGAD	27
REG3A	27
DNAH10	27
KIAA2022	27
SPAG17	27
LAMB1	27
FANCM	27
NLRP8	27
RBP3	27
DMXL1	27
HIVEP3	27
NID2	27
STXBP5L	27
KLHL4	27
OR11H1	27
SLC8A3	27
PTPRC	27
SATB2	27
ADAMTS5	26
KCNH1	26
HHIPL2	26
PCDHB16	26
PTPRH	26
PCDHB11	26
PTCHD4	26
SLC12A5	26
ATP10B	26
MKRN3	26
ANKRD30B	26
NETO1	26
GFRAL	26
LRRIQ3	26
FREM2	26
IGSF10	26
BCHE	26
NLGN1	26
NRG3	26
CCNB3	26
LGR5	26
SLC9A4	26
NLRP7	26
PTPRN2	26
ZNF716	26
ABCA10	26
DGKI	26
PCDHA6	26
OR8J3	26
PDE10A	26
TRIM58	26
ZIC1	26
GABRA2	26
NAV2	26
SCN1A	26
OR5T3	26
TRO	26
IL1RAPL1	26
OR10G8	26
KIAA1210	26
ABCB11	26
PDE1C	26
TACC2	26
OCA2	26
OR5F1	25
CHD6	25
NCAN	25
TECTA	25
CR1	25
RGS7	25
FBN1	25
BRINP2	25
OR2M4	25
GRID1	25
SLC12A1	25
ATP2B2	25
HIVEP2	25
OR2M2	25
FSHR	25
CARD11	25
PARD3B	25
AKAP9	25
SHANK1	25
LILRB2	25
GABRG2	25
ANKRD17	25
SEMA3A	25
TRIML1	25
PCDHB6	25
NRAP	25
PCDHB3	25
DZIP3	25
OR2L2	25
C7	25
ACSM5	25
CNTN3	25
FAM71B	25
KCNJ3	25
POSTN	25
PLCL1	25
RANBP2	25
DYNC1H1	25
RGAG1	25
F13A1	25
OR1C1	25
POLQ	25
OR2T1	25
PAK7	25
IQGAP2	25
NFASC	25
DTNA	25
COL4A2	25
CDH11	25
NELL2	25
PRKCB	24
TKTL2	24
ADAM19	24
COL24A1	24
OR5D14	24
OR2G6	24
LAMA3	24
MYH11	24
SLC17A6	24
OR51V1	24
ITPR2	24
RAG1	24
OR2T12	24
PAPPA	24
LRRC66	24
PDE3A	24
PLG	24
PREX2	24
IGF2R	24
LILRB1	24
CHD5	24
SLCO5A1	24
NOS1	24
SLC44A5	24
CDH6	24
GALNT13	24
COL9A1	24
HSPG2	24
RAD51AP2	24
PCDHB10	24
HECTD4	24
ANO4	24
CAMTA1	24
EGFLAM	24
ACTRT1	24
TENM4	24
COL15A1	24
BPTF	24
FREM1	24
OR4C46	24
NTNG1	24
EDIL3	24
MKI67	24
GPRC6A	24
DSG1	24
GABRG3	24
ZCCHC5	24
MTCL1	24
LRFN2	24
DSG4	24
ZNF257	24
AGMO	24
FLT1	24
BRCA2	24
TLN2	23
MDN1	23
ANO3	23
PZP	23
PCDHGA4	23
ATP8A2	23
DNAH1	23
SLITRK5	23
NLRP10	23
ANKS1B	23
FRYL	23
C6orf118	23
PCDHA4	23
NRXN2	23
DOPEY2	23
KCNA5	23
OR4K17	23
PCDHGA6	23
OR2T34	23
LEPR	23
TMEM200A	23
TRPM2	23
CTTNBP2	23
PIK3CA	23
BDP1	23
OR6K2	23
TRPV5	23
TYR	23
UBA6	23
TET1	23
TMEM132E	23
ATP2B3	23
MAGEC2	23
TECRL	23
FBN3	23
RB1	23
APC	23
CYP11B2	23
PCDHGA8	23
ADNP2	23
OR2G3	23
ZNF735	23
SDK2	23
COL4A6	23
EXPH5	23
OR8H2	23
PCDHA9	23
DPP6	23
VPS13D	23
DNAH2	23
TUBA3C	23
DLGAP2	23
DCAF8L1	23
SYNPO2	23
GUCY1A2	23
INHBA	23
FNDC1	23
GUCY2F	22
TRPC6	22
ZNF318	22
NCAM2	22
NPHS1	22
EPB41L3	22
CLCA4	22
OR14K1	22
CELSR3	22
PCDHGB3	22
SERPINB3	22
FLNA	22
FAM171B	22
CASS4	22
DACH1	22
PYHIN1	22
COBL	22
COL25A1	22
PCDHGA1	22
SRRM2	22
PRG4	22
OR2T3	22
HECW2	22
PLCB4	22
VCAM1	22
NLRP11	22
KCNK2	22
ABCA9	22
ARHGAP32	22
NLRP2	22
PCDHA10	22
ARHGEF6	22
MAGEL2	22
KIF1A	22
P2RY10	22
OGDHL	22
OR14A16	22
CACNA1A	22
UGT3A1	22
PDZRN4	22
TNC	22
OR5W2	22
VWF	22
ADGRL4	22
GRIK1	22
LILRA2	22
ADCY5	22
FRY	22
DOCK4	22
OR8I2	22
TRPM1	22
PSKH2	22
SLC27A6	22
MYH15	22
ARMC3	22
CACNA1I	22
MS4A14	22
ARID2	22
TAS1R2	22
AMPH	22
CNKSR2	22
OR5T2	22
CLSTN2	22
CHRM3	22
TFAP2D	22
CFAP61	22
LRRC32	22
ZNF98	22
KCNB1	22
ZFYVE26	22
PCDHA7	22
ARAP2	22
OR2T6	22
ATP10D	22
TLL2	22
SPTB	22
KIF21A	22
OR5J2	22
GRIK4	21
ZBBX	21
A2ML1	21
OR2AK2	21
NTRK2	21
CACNA1F	21
MUC7	21
KCNC2	21
PGK2	21
SMG1	21
PLXNA2	21
CAPN6	21
OR10J3	21
ZNF292	21
SEMA3D	21
DAB1	21
TDRD6	21
PSG2	21
TEP1	21
PHF3	21
LRRK2	21
RBFOX1	21
NMUR2	21
MAP1B	21
KIF5A	21
FAM171A1	21
PCDH19	21
REG3G	21
RIF1	21
