Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-49-6761-11A-01R-1949-07	0.0325039255294222	0	0.00245751158579359	0.0779135915590357	0	0.139056496708085	0	0	0	0	0.0987607207245227	0.032269632043694	0.0304697608993542	0.273341738860209	0.0123231742092018	0.0938668436020995	0.0320238676701099	0.0627905806104902	0.105720742525617	0	0.00137293652454962	0.00512847694781644	0.003	0.351705823089494	0.93908767130537
TCGA-55-6975-11A-01R-1949-07	0.141767845857383	0	0.0502216565117688	0.0496516865593056	0	0.205112079879348	0.00646536480162588	0	0	0	0.00465804850809147	0.0211689384865656	0.0522651785267505	0.0978420308440538	0.00389017927597331	0.123477116304203	0	0.0330162272364073	0.137688981039066	0	0.0270174117128122	0.0457572544566459	0.004	0.325147542782598	0.946904037985342
TCGA-44-2655-11A-01R-1758-07	0.0653183678388817	0	0	0.052295205558635	0	0.235555735427499	0.00512487722828801	0	0	0	0.00743739890260179	0.0115743272523918	0.0302328653542261	0.168536446635417	0.0191237085376698	0.182614607119235	0.0145176391581595	0.026021473179878	0.137017042380868	0	0.044352563368054	0.000277742058195054	0.028	0.212973515542252	0.993613558490429
TCGA-44-2657-11A-01R-1758-07	0.198849845191047	0	0.0507080235954861	0.147041277937013	0	0.0896883175589338	0.0163985656739915	0.0595301171579234	0.028490168114806	0	0	0.0394633559642295	0.0174751276707213	0.0604956449690755	0.0192614462691911	0.114919449011502	0.0433243290700641	0.024593508903468	0.0704569255283563	0	0	0.0193038973841905	0.002	0.359811385009918	0.933982261487328
TCGA-50-5932-11A-01R-1755-07	0.0164734992644579	0	0.00888239753140233	0.0585372549227894	0	0.193331191800296	0	0	0	0	0.0639613394306782	0	0.0473662025952578	0.0744116992768531	0.000155061556621053	0.301640941209039	0	0.0483139720679293	0.138619599112041	0	0.0423209375957098	0.00598590363692469	0.016	0.2511567134389	0.977998343928892
TCGA-44-2661-11A-01R-1758-07	0.0776173986440575	0	0.00802447249283991	0.0699843735830725	0	0.191240507721803	0.00172965959614065	0.00249134830556714	0.00631245772599157	0	0	0.0141593032727287	0.0158985545428296	0.157900537653406	0.0441816916561535	0.230522231439963	0.0501535405368948	0	0.11286093983647	0	0	0.0169229829920818	0.002	0.380758233205958	0.924363453935418
TCGA-49-6743-11A-01R-1858-07	0.07422695495356	0	0.00881192619496221	0.0956587274553494	0	0.146918868848888	0	0	0	0	0	0.0353459534474653	0.0352193086124378	0.154515327968471	0.017794106360826	0.18111890448224	0.00243793228277932	0.0158965394720816	0.159865784975434	0	0.0592985593114864	0.0128911056340192	0.003	0.333694977009455	0.943921091584142
TCGA-55-6971-11A-01R-1949-07	0.0353566163584779	0	0.00503019362369394	0.0812391460586255	0	0.187843242875452	0	0	0	0	0.0461076994561092	0	0.0436707237676875	0.203186610936988	0.0313574605061152	0.181436945964751	0.007480848900331	0.0177243480678936	0.10425066840608	0	0.0365558978266017	0.0187595972511942	0.017	0.245532574909399	0.982291810820118
TCGA-50-6595-11A-01R-1858-07	0.0250425361149709	0	0.00266813146729122	0.0917355976087216	0	0.328526918911369	0.00420556714107549	0	0	0	0.0799192787575893	0	0.0277231108841321	0.101077426775123	0.0676926449005453	0.17525916491566	0.016263756569618	0	0.0647277220446782	0	0.0118996263067228	0.00325851760250323	0.004	0.314151723104751	0.955449364065213
TCGA-55-6980-11A-01R-1949-07	0.103124840418198	0	0.0319480000743584	0.0978272930742127	0	0.259167175854368	0.023916292701096	0	0	0	0.022372969492294	0.0201560764038572	0.020933524327891	0.0789455585555389	0.0505778266132899	0.119855799619477	0.0200949328926212	9.237805193331e-05	0.135004999345603	0	0	0.0159823325752619	0.00800000000000001	0.277868926064618	0.966999724385883
